Acls,Section,Permission
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]6fa3b6b1-4459-4ee2-abfc-118c88504d02,Inventory,List of IAM Roles
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]57807f49-e9d7-43e6-b051-d5afcfd14fde,Inventory,List of IAM Policies
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]b0c21e5a-bba0-4f54-a561-54327d0d169e,Inventory,List of Open ID Connect Providers
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]50f1b52a-922d-4bb8-9fdc-82e6df4101a2,Inventory,List of SAML Providers
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]87afb4db-4d8d-47bf-8d50-ba4b8926c9b0,Inventory,List of Virtual MFA Devices
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]3dc08b58-56da-4c61-a8b9-f9531efcdf81,Inventory,Kinesis Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]d2afbaf0-233d-4cd6-83b3-5dbd173191a4,Inventory,List of Kinesis Streams
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]5cfee1b4-7318-44c8-91e0-31790f217c70,Inventory,Key Management Service (KMS) Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]d798e4d4-fc0d-462f-a181-27700c866c60,Inventory,List of KMS Keys
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]f385817e-fc78-4297-b8dc-d301d10e1eb2,Inventory,Lambda Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]c33417a2-1bda-4ab7-8b59-19909ed28c2f,Inventory,List of Lambda Functions
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]f276f28c-c20c-45d0-accc-b386f867086c,Inventory,Redshift Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]3223309b-bc8d-4b6a-a915-43b4dcc599e1,Inventory,List of Redshift Clusters
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]add7e5a5-469d-4655-a65f-9d8a1dbbe243,Inventory,Route53 Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]2f31a37a-7519-445f-9f66-df973b941aa5,Inventory,List of Route53 Hosted Zones
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]cae011ba-d282-40b2-b271-74dfb188489c,Inventory,List of Route53 Health Checks
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]111713eb-93c1-44c6-9e2f-cfe7472f1d76,Inventory,Simple Email Service (SES) Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]5e191397-c3cb-4e41-b6aa-6b294749ae6a,Inventory,Simple Domain Service (SES) Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]10238ff4-b1e7-4273-a257-868a4bba2a3c,Inventory,List of SES Emails
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]af941ac6-b482-4517-9852-1441f18c073b,Inventory,List of SES Domains
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]b58e14dd-5482-4d84-923b-a4e90d0f1a01,Inventory,SimpleDB Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]1c59f1bb-2d7c-43ef-9e71-41faecd556f2,Inventory,List of SimpleDB Domains
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]82f5e3a4-8351-412c-9504-57daa0434384,Inventory,Simple Queue Service (SQS) Summary
