Acls,Section,Permission
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]c77ea52e-2f46-4d18-a6c9-44649eb49a61,Inventory,List of Storage Gateways
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]3e5631cf-c786-4150-87f0-5a4bb8bf5f8c,Inventory,AWS Support Case Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]23dd0861-affd-4ff0-83d0-f485d8bd6373,Inventory,List of AWS Support Cases
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]58551417-bae7-4099-bfce-e9d5ddb45078,Inventory,Simple Notification Service (SNS) Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]2d83f303-3787-4f0a-b166-552899498004,Inventory,List of SNS Topics
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]155ddbd1-55ed-419d-803f-1863ac8327c9,Inventory,Simple Workflow Service (SWF) Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]eb861b3e-d7ea-46ca-8f90-fc449deddbd0,Inventory,List of SWF Domains
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]87d50a0d-9fbc-4821-9190-9cfade982fcd,Inventory,WorkSpaces Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]76698ec2-8443-40b8-ac06-08a2306b8984,Inventory,List of WorkSpaces
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]f0c47e54-3b5f-4842-b1ab-06c908ca561e,Inventory,List of WorkSpaces Directories
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]688dabf1-d689-4a9b-b5b2-104ac6a938c9,Inventory,CloudHSM Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]d4a75e4f-9f79-46b6-ac42-8ff79f4ab83f,Inventory,List of CloudHSM
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]dd574f5c-18a9-4ba4-ba70-0b6b3542d425,Inventory,List of HA Partition Groups
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]2e02085b-cb28-4b84-ab45-ad751957706f,Inventory,List of Luna Clients
